attr-fabric,attr-ideal-for,attr-number-of-contents-in-sales-package,attr-pattern,attr-style-code,attr-type,category-0,category-1,category-2,category-3,category-4,category-5,imageUrl,maker,product,productId,product_url,retail_price,uniq_id
Cotton,Women's,,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img5a.flixcart.com/image/dress/f/p/j/1-1-mc-s-14-d-01-33-103-miss-chase-xl-original-imadzw6hcdak3zjg.jpeg,,Miss Chase Women's Bandage Dress,b0eb3ed70df896c7a48b31b32756395c,http://www.flipkart.com/miss-chase-women-s-bandage-dress/p/itmdzpx337dwdmeg?pid=DREDZPX3WCZ2GKGH,1599,b0eb3ed70df896c7a48b31b32756395c
Lycra,Women's,Pack of 1,Floral Print,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hugo Chavez Dresses,http://img5a.flixcart.com/image/dress/z/t/9/1-1-hc1590dupq-hugo-chavez-l-original-imaeaszaahecgrv9.jpeg,,Hugo Chavez Women's Bandage Dress,e430f46880ce3d0f34bad3ebb649e0f1,http://www.flipkart.com/hugo-chavez-women-s-bandage-dress/p/itmeaxe3d6rk2zsp?pid=DREEAXE3W4GCYENW,2499,e430f46880ce3d0f34bad3ebb649e0f1
Poly Crepe,Women's,Pack of 1,Floral Print,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Hoowks Trendz Dresses,http://img6a.flixcart.com/image/dress/a/y/h/1-1-ht-06-hoowks-trendz-l-original-imaecsy33qgw4q54.jpeg,,Hoowks Trendz Women's Shift Dress,40d3e844bb253c659cdfe54cc6065dfd,http://www.flipkart.com/hoowks-trendz-women-s-shift-dress/p/itmect3mfazv2ev9?pid=DREECT3MPFDCTE7P,1500,40d3e844bb253c659cdfe54cc6065dfd
Polyester,Women's,,Solid,,Bandage,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Kaamastra Dresses,http://img5a.flixcart.com/image/dress/5/u/9/1-1-lb5550-kaamastra-free-original-imaea8gatvzuheaq.jpeg,,Kaamastra Women's Bandage Dress,7331fd58e899a38591067d4014ab2580,http://www.flipkart.com/kaamastra-women-s-bandage-dress/p/itmeb79fxmdspqhf?pid=DREEB79FYDHVT5U9,1099,7331fd58e899a38591067d4014ab2580
poly crepe,Women's,Pack of 1,Printed,,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Meiro Dresses,http://img5a.flixcart.com/image/dress/b/n/m/1-1-15138pink-meiro-3xl-original-imae87cfftknan87.jpeg,,Meiro Women's Peplum Dress,a03216588a5209226fbbc6a8f7335ebd,http://www.flipkart.com/meiro-women-s-peplum-dress/p/itme87gtgvkuargj?pid=DREE87GTNEFY272S,1399,a03216588a5209226fbbc6a8f7335ebd
Polyster,Women's,,Solid,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,LondonHouze Dresses,http://img5a.flixcart.com/image/dress/s/q/v/1-1-lhagd00120-londonhouze-m-1000x1000-imaeakz8pgzhn64c.jpeg,,LondonHouze Women's Sheath Dress,60cae6ad713a96aca95ea277493e9af1,http://www.flipkart.com/londonhouze-women-s-sheath-dress/p/itmeaharzdnf7q3v?pid=DREEAHARVQVBWQJC,1999,60cae6ad713a96aca95ea277493e9af1
Polyester,Women's,,Printed,,Peplum,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,La Arista Dresses,http://img6a.flixcart.com/image/dress/g/u/k/apld023-la-arista-xs-original-imaeygkpjzrgwpjc.jpeg,,La Arista Women's Peplum Dress,c86b222a2d54e1a7a2d14f2dec409123,http://www.flipkart.com/la-arista-women-s-peplum-dress/p/itmey9pfqvbr9suc?pid=DREEY9PFYAWYTCHK,1249,c86b222a2d54e1a7a2d14f2dec409123
Viscose,Women's,Pack of 1,Self Design,,Shift,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Latin Quarters Dresses,http://img5a.flixcart.com/image/dress/f/m/t/1-1-lqd3917-red-latin-quarters-l-original-imae7gq5ytyxfxyt.jpeg,,Latin Quarters Women's Shift Dress,aa86b3c574d7c48dabc3b0590e8a8e2f,http://www.flipkart.com/latin-quarters-women-s-shift-dress/p/itme7gtg2x8psqzx?pid=DREE7GTGWZHJ5GMH,1990,aa86b3c574d7c48dabc3b0590e8a8e2f
Rayon,Women's,Pack of 1,Printed,,Maxi,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Indi Bargain Dresses,http://img6a.flixcart.com/image/dress/p/q/m/1-1-108violet-indi-bargain-free-original-imae5zh25nfzk5yj.jpeg,,Indi Bargain Women's Maxi Dress,dfa96908fd2262dc29ace9d17b9db53b,http://www.flipkart.com/indi-bargain-women-s-maxi-dress/p/itme5zc2yuhbzhnh?pid=DREE5ZCFSBQ3HPQM,2249,dfa96908fd2262dc29ace9d17b9db53b
Cotton Cambric,Women's,,Animal Print,,Sheath,Clothing,Women's Clothing,Western Wear,Dresses & Skirts,Dresses,Miss Chase Dresses,http://img6a.flixcart.com/image/dress/f/g/g/tp-mc-aw-12-d-01-02-01-miss-chase-xl-original-imadvc2wxqmyxprj.jpeg,,Miss Chase Women's Sheath Dress,8df5698b002e9e041bc3f61f01732049,http://www.flipkart.com/miss-chase-women-s-sheath-dress/p/itmdvc24hmfrbrwq?pid=DREDVC24FEG3PFGG,1099,8df5698b002e9e041bc3f61f01732049
